id,name_myv,name_mdf,name_deu,name_rus,dialect,district_deu,district_rus,region_deu,region_rus,entity,coordinate
M:Pičep,x,pič-pulńä·,Pitschepolonka,Пичеполонга,mdf:C,x,x,x,x,д.,"54.411704, 43.222503"
M:Pläj,x,x,Perchljaj,x,mdf:X,Insar,x,x,x,с.,E
M:Poljana,x,poljana,x,x,mdf:W,x,Зубово-Полянский район,x,Мордовская АССР,с.,"53.954166, 42.825999"
M:Prol,x,x,Prolejka,x,mdf:X,Samara,x,x,x,нп.,E
M:Promzino,x,paranza,x,x,mdf:W,x,Зубово-Полянский район,x,Мордовская АССР,с.,"54.253000, 42.634333"
M:Pronk,x,x,Pronkino,x,mdf:X,Buguruslan,x,Samara,x,с.,E
M:Pš,x,śiŕə pšeń,Staroje Pschenewo,Старое Пшенёво,mdf:SE,x,x,x,x,с.,"54.105637, 44.216561"
M:Sal,x,salazǵäŕǵä,Salasgor,Салазгорь,mdf:Trans,x,x,x,x,с.,"54.121872, 43.154446"
M:Sam,x,v́iŕ somaj,Samawka,Старая Самаевка,mdf:C,x,x,x,x,с.,"54.220121, 43.679045"
M:Sandr,x,śiŕə v́eĺä,Staroje Sindrowo,Старое Синдрово,mdf:C,x,x,x,x,с.,"54.417420, 44.113200"
M:Sar,x,x,x,x,mdf:X,Saransk,x,x,x,р.,E
M:Sarat,x,x,x,x,mdf:X,x,x,Saratow,x,Губер.,E
M:Sarga,x,sarga,x,Старое Шайгово,mdf:C,x,x,x,x,с.,"54.366667, 44.483333"
M:Saz,x,od sazan-v́eĺä,Sasonowka,Старая Сазоновка,mdf:C,x,x,x,x,с.,"54.127154, 43.722766"
M:Sel,x,v́iĺ-eźəm,Selischtsche,Покровские Селищи,mdf:W,Spassk,Зубово-Полянский район,Tambow,Мордовия,с.,"53.999822, 43.000987"
M:Seliksa,x,x,Seliksa,Кижеватово,mdf:SE,x,Пензенскогог района,x,Пензенский Облость,с.,"53.214221, 45.294422"
M:Senk,x,x,Senkino,x,mdf:X,Bugulma,Шенталинский район,Samara,Куйбышевский область,с.,E
M:Simb,x,x,x,x,mdf:X,Simbirsk,x,x,x,р.:Губер.,E
M:Sind,x,od v́eĺä,Sindrowo,Новое Синдрово,mdf:C,x,x,x,x,с.,"54.343153, 44.087455"
M:Sjarda,x,śarda,Sjarda,Сярда,mdf:Trans,x,x,x,x,д.,"53.029697, 43.329303"
M:Skolp,x,kolapa,Skolpino,Колопино,mdf:C,x,x,x,x,?с.,"54.358749, 44.151289"
M:Som,x,somazĺäj,Somasljai,Самозлейка,mdf:C,x,x,x,x,с.,"54.310946, 43.893131"
M:Sp,x,x,x,x,mdf:X,Spassk,x,x,x,р.,E
M:StPichury,x,Сире Пяцёра,x,x,mdf:X,x,Торбеевский район,x,x,с.,"54.003000, 43.471000"
M:Sučk,x,koldajə̑s,Sutschkino,Колдаис,mdf:Mixed,x,x,x,x,?с.,"53.076500, 45.546157"
M:Tamb,x,x,x,x,mdf:X,x,x,x,x,Губер.,E
M:Temn,x,x,x,x,mdf:C,x,x,x,x,р.,
M:Ter,x,Сире Терезморга,x,Старая Теризморга,mdf:C,x,x,x,x,с.,"54.258617, 44.534025"
M:Tet,x,x,x,x,mdf:X,x,Тетюшский район,x,Татарская АССР,р.,E
M:Ur,x,x,Urjum,Урюм,mdf:Mixed,Tetjuschi,Тетюшский район,Kasan,Татарская АССР,с.,"54.772593, 48.758191"
M:Vel,x,Вада велезем веле,x,Вадовские Селищи,mdf:W,x,x,x,x,с.,"54.276889, 42.640017"
M:Vert,x,x,x,Вертелим,mdf:C,x,x,x,x,с.,"54.476615, 44.524683"
M:Vod,x,x,x,Водолей,mdf:Mixed,x,x,x,x,с.,"53.278939, 45.997740"
M:Zajcevo,x,Зайця,x,Зайцево,mdf:X,x,Краснослободский район,x,Мордовская АССР,с.,"54.271333, 43.671000"
M:Šad,x,x,Schadym,Шадым,mdf:SE,x,x,x,x,с.,"53.900719, 44.044398"
M:Šajg,x,śiŕə šäjgav,Schaigowo,Старое Шайгово,mdf:C,x,x,x,x,с.,"54.304085, 44.468358"
M:Čer,x,x,Festung Tscheremschan,x,mdf:X,Tscheremschan,x,x,x,с.,"54.654699, 51.505616"
E:Af,Охонькино,x,Afonkino,Мордовское Афонькино,myv:X,Bugulma,Черемшанский район,Samara,Татарская АССР,с.,"54.691027, 51.704656"
E:Aks,x,x,Aksjonowo,Аксёнкино,myv:X,Buguruslan,Северный район,Samara,Оренбургский область,?с.,"53.992015, 53.102156"
E:Al,Алова,x,Alowo,Алово,myv:Mixed,Gorodischtsche,x,Pensa,x,с.,"53.560706, 46.148307"
E:Alešk,aĺakśej-veĺe,x,Aljoschkino,Алёшкино,myv:Mixed,Buguruslan,Похвистневский район,Samara,Куйбышевский область,с.,"53.867527, 52.184752"
E:Alt,Коряйкужо,x,Altyschewo,Алтышево,myv:NW,Alatyr,Алатырский район,Simbirsk,Чувашская АССР,с.,"54.912547, 46.695677"
E:Andr,x,x,Andrjowka,Андреевка,myv:X,Chwalynsk,x,x,x,?с.,"52.965495, 47.077829"
E:Ating,at́iń-b́ijo,x,Atingejewo,Атингеево,myv:NW,x,Лукояновский район,Nishni-Nowgorod,Горьковская область,с.,"55.037959, 44.236638"
E:Atr,atrać,x,Atrat,Атрать,myv:NW,Alatyr,Алатырский район,Simbirsk,Чувашская АССР,с.,"55.008351, 46.669114"
E:Ba,x,x,Bajewka,Баевка,myv:X,Chwalynsk,x,x,x,с.,"53.091310, 47.255660"
E:Bag,x,x,Bagana,Багана,myv:X,Bugulma,Шенталинский район,Samara,Куйбышевский область,с.,"54.355511, 51.405616"
E:Beg,x,x,Begutsch,Бегуч,myv:X,Petrowsk,x,x,x,с.,"52.619264, 46.192917"
E:Bel,x,x,x,x,myv:X,Belebej,x,x,x,р.,E
E:Bokla,Эрзянь Бокла,x,Bokla,x,myv:X,östl. Buguruslan,x,x,x,с.,"53.823548, 52.787387"
E:Bug,x,x,x,x,myv:X,Bugulma u. Buguruslan,x,x,x,р.,E
E:Bugulma,x,x,x,x,myv:X,Bugulma,Шенталинский район,Samara,Куйбышевский область,р.,E
E:Bugur,x,x,x,x,myv:X,Buguruslan,Бугурусланский район,Samara,Оренбургский область,р.,E
E:Buinsk,x,x,x,x,myv:X,Bui,x,x,x,р.,E
E:Buz,x,x,x,x,myv:X,Busuluk,x,x,x,р.,E
E:Dav,x,x,Dawidowo,Давыдовка,myv:X,Korsun,Николаевский район,x,Ульяновский область,с.,"53.065355, 47.161184"
E:Djurki,d́uŕḱina,x,Djurki,Дюрки,myv:C,Alatyr,Атяшевский район,Simbirsk,Мордовская АССР,с.,"54.649479, 46.368178"
E:Drak,Дракина,x,Drakino,Дракино,myv:Mixed,Spassk,Торбеевский район,Tambow,Мордовская АССР,с.,"54.046830, 43.260178"
E:Dubr,x,x,Dubrowka,Дубровки,myv:Mixed,Petrowsk,Камешкирский район,Saratow,Пензенская область,с.,"52.940267, 45.846706"
E:Dudn,dud́ńikova,x,Dudnikowo,Дудниково,myv:Mixed,Temnikow,Теньгушевский район,Tambow,Мордовская АССР,с.,"54.801130, 42.699243"
E:BoljshaâEga,Ёга веле,x,x,Большая Ега,myv:X,x,Похвистневский район,x,Самарский область,с.,"53.557000,51.985166"
E:God,x,x,Godjaikino,Годяйкино,myv:X,Gorodischtsche,Инзенский район,x,Ульяновский область,с.,"53.509560, 46.580801"
E:Gol,x,x,Golodjawka,x,myv:X,Chwalynsk,x,x,x,?нп.,E
E:Gor,x,x,x,x,myv:Mixed,Gorodischtsche,Городищенский и Сосновоборский р-ны,x,Пензенский область,р.,"53.266667, 45.700000"
E:Gr,x,x,Gratschowka,Грачёвка,myv:X,Samara,"Кошкинский район",x,Куйбышевский область,с.,E
E:Hl,x,x,Chlystowka,Отрадное,myv:X,Ardatow,x,x,x,с.,"54.434554, 45.671750"
E:Hol,x,x,Cholstowka,Холстовка,myv:X,Chwalynsk,x,x,x,с.,"52.848754, 47.222521"
E:Idm,v́id́ma-v́eĺe,x,Idmanowo,Итманово,myv:NW,Nishni-Nowgorod,x,x,x,с.,"55.145545, 44.744321"
E:Is,x,x,Issalky,Исаклы,myv:X,Buguruslan,x,Samara,x,с.,"54.130768, 51.536770"
E:Ivanc,ivań-b́ijo,x,Iwanzewo,Иванцево,myv:NW,Lukojanow,x,Nishni-Nowgorod,x,с.,"54.995085, 44.384303"
E:Jeg,x,x,Jegerowka,Новоегорьевка,myv:X,Samara,x,x,x,?д.,"53.492287, 53.838460"
E:Kad,x,x,Kadom,Кадом,myv:Mixed,?,Теньгушевский район,?,x,,?
E:Kal,koĺaj-v́eĺe,x,Kaljajewo,Коляево,myv:Mixed,Temnikow,x,Tambow,x,д.,"54.610094, 42.636631"
E:Karaguž,x,x,Karagush,Мордовская Карагужа,myv:X,Chwalynsk,x,x,x,?с.,"52.826695, 48.172121"
E:Kard,x,x,Kardaflej,Кардафлей,myv:Mixed,Gorodischtsche,x,Pensa,x,с.,"53.331139, 46.021087"
E:Kas,x,x,x,x,myv:X,x,x,Kasan,x,Губер.,E
E:Kažl,kažli͔tka,x,Kashlodka,Кажлодка,myv:Mixed,Spassk,Торбеевский район,Tambow,Мордовская АССР,с.,"54.007194, 43.168146"
E:Kirdž,Верьгизума,x,Kirdshamany,Каржимант,myv:Mixed,Petrowsk,x,Saratow,x,с.,"52.780229, 45.532341"
E:Kl,x,x,Kljawlina,Клявлино,myv:X,Bugulma,Шенталинский район,Samara,Куйбышевский область,с.,"54.298232, 52.006167"
E:Kob,Кобале,x,Kobajewo,Кабаево,myv:SE,x,Дубёнский,x,Мордовия,с.,"54.525698, 46.474162"
E:Korino,koŕina,x,Korino,Корино,myv:NW,x,x,x,x,с.,"55.148879, 44.056220"
E:Korov,x,x,Korowino,Коровино,myv:X,Buguruslan,Бугурусланский район,Samara,Оренбургский область,с.,"53.826386, 53.048464"
E:Kos,gosagᴉ͐r,x,Kossogory,Косогоры,myv:SE,x,x,x,x,с.,"54.212040, 45.779665"
E:Kozl,x,x,Koslowka,Козловка,myv:X,Bugulma,Шенталинский район,Samara,Куйбышевский область,с.,"53.742016, 51.350989"
E:Kočk,kočkur-v́eĺe,x,Kotschkurowo,Кочкурово,myv:W,Saransk,x,Pensa,x,с.,"54.037297, 45.433868"
E:Kulik,x,x,Kulikowka,Куликовка,myv:X,Samara,x,x,x,?с.,?
E:Kur,kuraj-v́eĺe,x,Kurajewo,Кураево,myv:Mixed,x,x,x,x,с.,"54.711125, 42.634978"
E:Kut,x,x,Kutuschi,Старые Кутуши,myv:X,Tschistopol,x,x,x,с.,"54.695918, 51.116044"
E:Kuz,kuzajḱina,x,Kusaikino,Кузайкино,myv:Trans,x,x,x,x,с.,"54.605902, 52.240429"
E:Leb,x,x,Lebeshaika,?Малая Лебежайка:Старая Лебежайка,myv:Mixed,x,Хвалынский район,x,Саратовский обл.,с.,"?52.684708, 47.867386"
E:MKka,x,x,Malaja Karmalka,Мордовская Кармалка,myv:X,Bugulma,Шенталинский район,Samara,Куйбышевский область,?с.,"54.620480, 51.834813"
