author,author_lat,lang,geo,erme_geo,birth_date,comment
"Ганчин, Анатолий Дмитриевич",,myv,с. Кульмино_Чамзинский район,|Myv:MR_ChamzKulʹmino;RU;54.43;45.6|,1953????_,
"Глухов, Пётр Семёнович",,myv,с. Малые Кармалы_Буинский уезд,|Myv:MKly;RU;55.159846;47.213313|,18971226_19790207,
"Голенков, Николай Борисович",,mdf,Булдыгино_Зубово-Полянский район,|Mdf:MR_Buldygino;RU;53.892778;42.874167|,19580817_,(Н. Грозов; Н. Булдыгин; Н. Борисов; Н. Лунданов; Н. Кужин)
"Горбунов, Василий Владимирович",,myv,с. Лобаски_Ичалковский район,|Myv:MR_IchalkLambaske;RU;54.62;45.151944|,19140731_19831211,(Пургине)
"Горбунов, Генрих Иванович",,myv,с. Ичалки_Ичалковский район,|Myv:MR_Ichalki;RU;54.687222;45.27|,,
"Горбунов, Иов ???",,myv,,,,
"Гребенцов, Геннадий Сергеевич",,myv,с. Бузаево_Большеберезниковский район,|Myv:MR_BolBerBuzaevo;RU;54.325367;46.162949|,19570102_,
"Григошин, Яков Пахомович",,myv,с. Армиево_Шемышейский район,|Myv:PO_Ermeevo;RU;52.865556;45.561944|,18881103_19390424,
"Грошев, Михаил ???",,myv,,,,
"Девин, Илья Максимович",,mdf,Старая Теризморга_Старошайговский район,|Mdf:Ter;RU;54.258617;44.534025|,19220720_19981113,
"Дёмин, Василий Иванович",,myv,с. Шугурово_Большеберезниковский район,|Myv:MR_Šug;RU;54.266111;46.093333|,19550902_20??,
"Доронин, Александр Макарович",,myv,с. Петровка_Большеигнатовской район,|Myv:MR_Petrovka;RU;54.973333;45.484167|,19470107_20210317,
"Дорофеев, Захар Фёдорович",,mdf,с. Салазгорь_Торбеевский район,|Mdf:Sal;RU;54.121872;43.679045|,19??0??0_,
"Душутина, Е. ???",,mdf,с. ХХ_ХХ район,|Mdf:_;RU;_;_|,19??0??0_,
"Дьяков, Геннадий Тихонович",,mdf,с. Кижеватово_Бессоновский район Пензенская область,|Mdf:PO_Kizhevatovo;RU;53.213889;45.290278|,19450??0_,
"Дуняшин, Алексей Васильевич",,myv,с. Большой Толкай_Похвистневский район,|Myv:BolʹšojTolkaj;RU;53.476333;51.951|,1???0?0?_??,
"Ежов, Анатолий Фёдорович",,mdf,с. Подлясово_Зубово-Полянский район,|Mdf:MR_Poljdjaz;RU;54.301944;42.671944|,19411010_,
"Ерёмкин, Василий Данилович",,mdf,с. ХХ_Темниковский район,|Mdf:_;RU;_;_|,19450??0_,
"Еремкин, Михаил ???",,myv,с. ХХ_ХХ район,|Myv:_;RU;_;_|,19??0??0_,
"Живаев, Виктор Михаилович",,myv,с. Тарасово_Атяшевский район,|Myv:MR_Tarasbuje;RU;54.585;46.24|,19280917_,
"Живайкина, Надежда Степановна",,mdf,с. Колапа_Краснослободский район,|Mdf:Skolp;RU;54.358749;44.151289|,19240915_,
"Жиганов, Михаил Фёдорович",,myv,с. Атяшево_Атяшевский район,|Myv:MR_AtjashAtâševo;RU;54.59189;46.12103|,19291117_19980610,
"Журавлёв, Числав Григорьевич",,myv,с. Большой Толкай_Похвистневский район,|Myv:BolʹšojTolkaj;RU;53.476333;51.951|,19350427_20180818,
"Захаров, В.",,mdf,,,,
"Зиновьев, Николай Васильевич",,myv,с. Шугурово_Большеберезниковский район,|Myv:MR_Šug;RU;54.266111;46.093333|,19480827_20070102,
"Золотков, Дмитрий ???",,mdf,с. ХХ_ХХ район,|Mdf:_;RU;_;_|,19??0??0_,
"Ильин, Фёдор Кириллович",,myv,с. Пылково Петровск_Лопатинский район,|Myv:PO_Pylkovo;RU;52.6875;45.869444|,19040101_19600907,(ИЛЬФЕК)
"Имайкина, Мария Дмитриевна",,myv,с. Ичалки_Ичалковский район,|Myv:MR_Ichalki;RU;54.687222;45.27|,19361105_,
"Имяреков, Михаил Герасимович",,mdf,д. Лепченка_Ельниковский район,|Mdf:MR_Lepchenka;RU;54.526944;43.882222|,19361215_,
"Инжеватов, Иван Корнилович",,myv,с. Кирюшкино_Бугуросланский район,|Myv:OO_Kirjushkino;RU;53.575278;52.308056|,19110716_19961201,
"Инчин, Анатолий Иванович",,myv,с. Камышлейка_Северный район,|Myv:OO_Kamyshlejka;RU;54.188611;52.641111|,19161001_19970317,(?Камышлинка?)
