author,author_lat,lang,geo,erme_geo,birth_date,comment
"Терёшкина, Евдокия Яковлевна",,mdf,с. Самозлейка_Рыбкинского/Ковылкинский район,|Mdf:Som;RU;54.310946;43.893131|,19450417_2000,
"Тимохина, Татьяна Дементьевна",,myv,с. Канаклейка_Ардатовский район,|Myv:MR_Kanaklejka;RU;54.772778;46.053889|,19301102_20001209,
"Тимошкин, Егор ???",,mdf,,,,
"Тингаева, Лидия",,mdf,,,,
"Торопкин, Павел Кузьмич",,mdf,др. Клопинка_Атюрьевский район,|Mdf:Klopinka;RU;54.436333;43.276677|,19200612_1999,
"Тремаскин, Никита Григорьевич",,mdf,с. Новое Синдрово_Краснослободский район,|Mdf:_;RU;_;_|,1922????_,
"Трошкин, Михаил И.???",,myv,,,,
"Трощева, М??? ???",,mdf,,,,
"Тургаев, Сергей ???",,mdf,с. ХХ_ХХ район,|Mdf:_;RU;_;_|,19??0??0_,
"Тяпаев, Анатолий Прохорович",,mdf,Нагорное Алёксово/Паёво_Кадошкинский район,|Mdf:Aleks;RU;54.016667;44.216667|,19280125_,(г. Беднодемьяновска_Пензанская область)
"Устякин, Вячислав ???",,myv,с. Батушево_Атяшевский район,|Myv:MR_Batushevo;RU;54.575278;46.136944|,19??0??0_,
"Учватов, Николай Иванович",,mdf,с. Левжа_Рузаевский район,|Mdf:Levši;RU;54.084532;45.009530|,19350101_19901011,
"Федькин, Роман Романович",,mdf,д. Коленово_Атюрьевский район,|Mdf:MR_Kolenovo;RU;54.333333;43.416667|,1909_,(Атюрьевскяй райононь Коленова велеса)
"Фетисов, Сергей Григорьевич",,mdf,г. Севск_Брянская область,|Mdf:BrjanO_Sevsk;RU;52.15;34.493889|,19230523_19830000,
"Цапко, Александр Дмитриевич",,mdf,с. ХХ_ХХ район,|Mdf:_;RU;_;_|,19??0??0_,
"Циликин, Николай Петрович",,mdf,с. Зайцево_Краснослободский район,|Mdf:Zajcevo;RU;54.271333;43.671|,19541008_,(|Zajcevo;RU;54.271333;43.671|)
"Цыганкин, Дмитрий Васильевич",,myv,с. Мокшалей_Чамазинский район,|Myv:MR_Mokshalej;RU;54.255024;45.626703|,19251022_,
"Челмакин, Андрей ???",,mdf,с. ХХ_ХХ район,|Mdf:_;RU;_;_|,19??0??0_,
"Черапкин, Николай Иосифович",,mdf,с. Старые Верхиссы_Инсарский район,|Mdf:MR_StVerkhissy;RU;53.865;44.54|,19170521_19870722,
"Чернов, Евгений Игнатьевич",,myv,с. Мокшалей_Чамазинский район,|Myv:MR_Mokshalej;RU;54.255024;45.626703|,19390912_,
"Черняев, Пётр Николаевич",,mdf,с. Лопатино_Торбеевский район,|Mdf:MR_TorbLopatino;RU;54.002222;43.116389|,19261128_,
"Чесноков, Фёдор Маркелович",,myv,с. Пылковский_Лопатинский район,|Myv:PO_Pylkovo;RU;52.6875;45.869444|,18960507_19380523,
"Четвергов, Евгений Владимирович",,myv,с. Арадатова_Дубёнский район,|Myv:MR_Ardatova;RU;54.404722;46.321111|,19340330_,
"Четырев, Алексей ???",,mdf,с. ХХ_ХХ район,|Mdf:_;RU;_;_|,19??0??0_,
"Чигодайкин, Иван Васильевич",,mdf,с. Старое Синдрово_Краснослободский район,|Mdf:MR_StSindrovo;RU;54.416667;44.116667|,19200911_19851121,
"Чукаров, Василий Трофимович",,mdf,с. Могиловка/Пушкино_Рузаевский район,|Mdf:MR_Pushkino;RU;54.048179;44.795245|,19??0??0_,
"Чумаков, Иван Филиппович",,mdf,с. Карсаевка_Белинский район,|Mdf:PO_Kars;RU;52.990231;43.220338|,19131120_19961127,
"Шаронов, Александр Маркович",,myv,с. Шокша_Теньгушевский район,|Myv:Šokša;RU;54.769991;42.520874|,19420218_,
"Шеянов, Василий ???",,mdf,с. ХХ_ХХ район,|Mdf:_;RU;_;_|,19??0??0_,
"Ширшов, Иван Семёнович",,myv,Большая Ега,Похвистневский район,Самарский область,|Myv:BoljshaâËga;RU;53.557000;51.985166|,1934????_,
"Ширяев, Алексей ???",,myv,,,,
"Шуляев, Алексей Дмитриевич",,mdf,с. Поповка_Зубово-Полянский район,|Mdf:MR_ZubuPopovka;RU;53.903333;42.839722|,19410828_,
"Шумилкин, Иван Егорович",,myv,с. Лобаски_Ичалковский район,|Myv:MR_IchalkLambaske;RU;54.62;45.151944|,19241120_,
"Щеглов, Александр Сергеевич",,myv,с. Чиндяново_Дубёнский район,|Myv:MR_Kende;RU;54.463889;46.393611|,19160320_19891024,
"Эскин, Анатолий Устинович",,myv,с. Семилей_Кочкуровский район,|Myv:MR_Semilej;RU;53.943056;45.336944|,,
"Юргай, Андрей Матвеевич",,myv,,,_1944????,
"Юртай, Андрей",,myv,с. Азрапино_Шемышейский район,|Myv:PO_Azrapino;RU;52.7611;45.626987|,,
"Якушкин, Тимофей Фёдорович",,mdf,с. Карсаевка_Белинский район,|Mdf:PO_Kars;RU;52.990231;43.220338|,19160221_19860326,
"Янюшкин, Иван Андреевич",,mdf,с. Кочелаево_Ковылкинский район,|Mdf:MR_KovylKochelaevo;RU;54.0225;44.059444|,19190916_,
"Мокша журнал",,mdf,Саран ош_Мордовская Республика,|Mdf:J_Moksha;RU;54.183333;45.183333|,1928_,(|J_Moksha;RU;54.183333;45.183333|)
"Сятко журнал",,myv,Саран ош_Мордовская Республика,|Myv:J_Sjatko;RU;54.183333;45.183333|,1929_,(|J_Sjatko;RU;54.183333;45.183333|)
