id,author,author_time,title,genre,bibliog,page_range,isbn,lang_orig,iso_lang,translator,comment
id,author,author_time,title,genre,bibliog,page_range,isbn,lang_orig,iso_lang,translator,comment
1,"Алёшкин, Андрей Васильевич",1989,Арьсемат,,Мордовскяй книжнай издательствась. Саранск. стр. 200.,1–197,5-7595-0142-9,mdf,mdf,x,x
2,"Девин, Илья Максимович",1991,Нардише,роман,Мордовскяй книжнай издательствась. Саранск. стр. 365.,,,mdf,mdf,x,
0,"Мишанина, Валентина Ивановна",1993,Озкс тумоть тарадонза,,Мордовскяй книжнай издательствась. Саранск. стр. 271.,,,mdf,mdf,,
